month,year,radio,mobile,total,percentage
Jul,2017,Radio WU,897,1776,50.51
Jul,2017,Radio Yguazu,33,66,50.00
Jul,2017,Radio de Salón,171,555,30.81
Jul,2017,Radio zónica,6888,14430,47.73
Jul,2017,RadioAsamblea,993,1713,57.97
Jul,2017,Radiofónica,2577,4398,58.59
Jul,2017,Red Aleluya,69,105,65.71
Jul,2017,Revés,42,87,48.28
Jul,2017,Rivadavia,16137,38733,41.66
Jul,2017,SI 91.1,783,1494,52.41
Jul,2017,Sarandí,11649,25467,45.74
Jul,2017,Signos FM,6,21,28.57
Jul,2017,Simphony,249,552,45.11
Jul,2017,SinDial,813,1947,41.76
Jul,2017,Sintonia,9,21,42.86
Jul,2017,Sol,39,78,50.00
Jul,2017,Splendid,10263,22758,45.10
Jul,2017,Sport,6687,15033,44.48
Jul,2017,Sport Casilda,1500,2094,71.63
Jul,2017,Subteradio,795,1362,58.37
Jul,2017,Sudamericana,18,36,50.00
Jul,2017,TNO RADIO,9,15,60.00
Jul,2017,TRES CIUDADES,981,1518,64.62
Jul,2017,Trade Radio,60,174,34.48
Jul,2017,Trend Topic,585,972,60.19
Jul,2017,UNC CALF,522,933,55.95
Jul,2017,UNLP AM,1938,3648,53.13
Jul,2017,UNLP FM,4068,8010,50.79
Jul,2017,Uba,1185,2160,54.86
Jul,2017,Univ. Nacional Arturo Jauretche,345,723,47.72
Jul,2017,Universal,720,1839,39.15
Jul,2017,Universidad Nacional de Cuyo,114,240,47.50
Jul,2017,Universidad Nacional de Rosario,4209,7674,54.85
Jul,2017,Universidad de Avellaneda (UNDAV),126,351,35.90
Jul,2017,Universidad de Córdoba,6507,11949,54.46
Jul,2017,Universidad de la Matanza,15,51,29.41
Jul,2017,Unión Radio,26514,37563,70.59
Jul,2017,Uno,8826,17163,51.42
Jul,2017,Visión FM 100.5,15,33,45.45
Jul,2017,Voces de Barrio Mitre,249,345,72.17
Jul,2017,Vorterix Rock,5529,11955,46.25
Jul,2017,Vox,120,195,61.54
Jul,2017,WAVRADIO,354,603,58.71
Jul,2017,Wen,333,798,41.73
Jul,2017,Wox,186,303,61.39
Jul,2017,fmlacigarra967,6,12,50.00
Jul,2017,radio olazabal,972,1416,68.64
Jul,2017,Éxitos,3306,4959,66.67
Jun,2017,1010 AM,9894,15996,61.85
Jun,2017,91.5 WUML Lowell,36,87,41.38
Jun,2017,AM 1330,78,96,81.25
Jun,2017,AM 750,242349,432846,55.99
Jun,2017,AM 840 - Salta,12,33,36.36
Jun,2017,AM 890,1368,1878,72.84
